1 1:1 2:118 3:104 4:306 5:222 6:202
1 1:1 2:15 3:42 4:89 5:57 6:47
1 1:1 2:7 3:57 4:146 5:64 6:89
1 1:1 2:15 3:74 4:162 5:89 6:88
1 1:1 2:36 3:27 4:112 5:63 6:85
1 1:1 2:71 3:55 4:194 5:126 6:139
1 1:1 2:42 3:77 4:146 5:119 6:69
1 1:1 2:3 3:51 4:81 5:54 6:30
1 1:1 2:4 3:19 4:67 5:23 6:48
1 1:1 2:3 3:10 4:131 5:13 6:121
1 1:1 2:4 3:13 4:75 5:17 6:62
1 1:1 2:4 3:16 4:57 5:20 6:41
1 1:1 2:6 3:52 4:131 5:58 6:79
1 1:1 2:20 3:60 4:145 5:80 6:85
1 1:1 2:9 3:11 4:146 5:20 6:135
1 1:1 2:62 3:80 4:216 5:142 6:136
1 1:1 2:70 3:24 4:141 5:94 6:117
1 1:1 2:68 3:25 4:128 5:93 6:103
1 1:1 2:45 3:27 4:115 5:72 6:88
1 1:1 2:34 3:69 4:160 5:103 6:91
1 1:1 2:6 3:112 4:228 5:118 6:116
1 1:1 2:57 3:76 4:212 5:133 6:136
1 1:1 2:81 3:57 4:220 5:138 6:163
1 1:1 2:10 3:76 4:148 5:86 6:72
1 1:1 2:53 3:64 4:177 5:117 6:113
1 1:1 2:12 3:71 4:94 5:83 6:23
1 1:1 2:17 3:39 4:69 5:56 6:30
1 1:1 2:10 3:27 4:89 5:37 6:62
1 1:1 2:54 3:90 4:218 5:144 6:128
1 1:1 2:8 3:11 4:66 5:19 6:55
1 1:1 2:87 3:8 4:128 5:95 6:120
1 1:1 2:67 3:79 4:173 5:146 6:94
1 1:1 2:12 3:91 4:174 5:103 6:83
1 1:1 2:6 3:33 4:58 5:39 6:25
1 1:1 2:24 3:38 4:109 5:62 6:71
1 1:1 2:23 3:55 4:141 5:78 6:86
1 1:1 2:37 3:27 4:171 5:64 6:144
1 1:1 2:26 3:74 4:135 5:100 6:61
1 1:1 2:68 3:76 4:234 5:144 6:158
1 1:1 2:20 3:7 4:103 5:27 6:96
1 1:1 2:34 3:96 4:223 5:130 6:127
1 1:1 2:95 3:76 4:208 5:171 6:132
1 1:1 2:9 3:17 4:79 5:26 6:62
1 1:1 2:20 3:35 4:121 5:55 6:86
1 1:1 2:459 3:84 4:578 5:543 6:494
1 1:1 2:4 3:15 4:71 5:19 6:56
1 1:1 2:28 3:73 4:175 5:101 6:102
1 1:1 2:79 3:32 4:152 5:111 6:120
1 1:1 2:31 3:82 4:192 5:113 6:110
1 1:1 2:23 3:12 4:60 5:35 6:48
1 1:1 2:21 3:57 4:160 5:78 6:103
1 1:1 2:31 3:13 4:55 5:44 6:42
1 1:1 2:70 3:65 4:226 5:135 6:161
1 1:1 2:31 3:44 4:149 5:75 6:105
1 1:1 2:3 3:53 4:94 5:56 6:41
1 1:1 2:21 3:30 4:124 5:51 6:94
1 1:1 2:10 3:55 4:128 5:65 6:73
1 1:1 2:20 3:41 4:137 5:61 6:96
1 1:1 2:9 3:71 4:150 5:80 6:79
1 1:1 2:29 3:71 4:179 5:100 6:108
1 1:1 2:34 3:82 4:197 5:116 6:115
1 1:1 2:37 3:49 4:109 5:86 6:60
1 1:1 2:4 3:56 4:90 5:60 6:34
1 1:1 2:3 3:74 4:122 5:77 6:48
1 1:1 2:15 3:50 4:112 5:65 6:62
1 1:1 2:15 3:22 4:103 5:37 6:81
1 1:1 2:76 3:38 4:163 5:114 6:125
1 1:1 2:23 3:66 4:174 5:89 6:108
1 1:1 2:4 3:50 4:81 5:54 6:31
1 1:1 2:20 3:79 4:168 5:99 6:89
1 1:1 2:64 3:16 4:145 5:80 6:129
1 1:1 2:37 3:43 4:124 5:80 6:81
1 1:1 2:57 3:13 4:78 5:70 6:65
1 1:1 2:12 3:85 4:157 5:97 6:72
1 1:1 2:37 3:83 4:196 5:120 6:113
1 1:1 2:12 3:82 4:157 5:94 6:75
1 1:1 2:32 3:65 4:171 5:97 6:106
1 1:1 2:81 3:79 4:193 5:160 6:114
1 1:1 2:12 3:11 4:100 5:23 6:89
1 1:1 2:4 3:41 4:93 5:45 6:52
1 1:1 2:42 3:65 4:167 5:107 6:102
1 1:1 2:6 3:90 4:158 5:96 6:68
1 1:2 2:165 3:66 4:307 5:231 6:241
1 1:2 2:34 3:73 4:180 5:107 6:107
1 1:2 2:401 3:0 4:401 5:401 6:401
1 1:2 2:53 3:0 4:53 5:53 6:53
